Deutsch;Englisch;Französisch;Italienisch;Spanisch
unbedingter Sprung;unconditional branch;saut incondionnel;;salto incondicional
vermischen;mix (v);mélanger;mischiare;mezclar
Verknüpfung;linkage, linking;liaison;enlace, acoplamiento;
Überlagerung;overlay (s);superposition;sovrapposizione;segmento d.superposición
übersetzen;translate, compile (v);traduire;tradurre;traducir
binden, verknüpfen;link (v);assembler, réunir;legare;ensamblar, agrupar
Bindeprogramm;linkage editor;éditeur de liens;montador de enlaces;
interne Prozedur;internal procedure;procédure interne;procedura interna;procedimiento interno
untergliedern;subdivide;subdiviser;suddividere;subdividir
verschmelzen, mischen;merge (v);fusionner;fondere;fusionar
Symbol;symbol (s);symbole (m);simbolo;símbolo
Verb;verb;verbe;verbo;verbo
Wert;value, worth;valeur (f);valore;valor
Wort;word (s);mot;parola, termine;palabra, término
Zeichen;sign (s);signe;segno;signo
Gruppe;group (s);groupe;gruppo;grupo
doppelt;double, dual (a);double;doppio;doble
einfach;simple (a);simple;semplice;simple
Parameter;parameter;paramètre (m);parametro;parámetro
Abweichung;variation;variation;deviazione;variación
Grenzwert;limit (s);limite;limite;límite
Synonym;synonym;synonyme;sinonimo;sinónimo
Faktor;factor;facteur;fattore;factor
Ausdruck;expression;expression;espressione, termine;expresión
umwandeln;convert (v);convertir;convertire;convertir
vereinbaren;declare (v);déclarer;fissare;declarar
markieren, kennzeichnen;mark (v);marquer;marcare;marcar
unbegrenzt;unlimited, unrestricted;illimité;illimitato;ilimitado
unbestimmt;undefined (a);non défini;indeterminato,indefinito;no definido
symbolisch;symbolic (a);symbolique;simbolico;simbólico
Wortlänge;word length;longueur de mot;;longitud de palabra
Ersatzwert;default value;valeur par défaut;;valor por defecto
Zusatz;suffix (s);supplément, additif;aggiunta;sufijo
Verweistabelle;reference table;table de référence;tabella di riferimento;tabla de referencia
Funktion;function (s);fonction (f);funzione;función
richtig;right, correct (a);correct;corretto;correcto
logisch;logical (a);logique;logico;lógico
Beziehung;relation;relation, rapport;relazione;relación
Kennzeichen;flag (s);marque;segno (particolare);marca, insignia
Bedingung;condition;condition;condizione;condición
Vergleich;comparison;comparaison;paragone;comparación
Bezug nehmen auf;refer to;se référer à;riferirsi a;referirse a
übereinstimmen;match (v);égaler;concordare,corrispondere;igualar
übergeordnet;superior (a);superieur;superiore;superior
sekundär;secondary (a);secondaire;secondario;secundario
gleich;equal (a);égal;uguale;igual
unbedingt;unconditional (a);inconditionnel;incondizionato;incondicional
Querverweis;cross reference;correspondances;rinvio, rimando;referencia cruzada
logische Funktion;logical function;fonction logique;funzione logica;función lógica
logischer Ausdruck;logical expression;expression logique;espressione logica ;expresión lógica
logischer Fehler;logical error;erreur logique;errore logico;error lógico
bedingter Sprung;conditional jump;saut conditionnel;salto condizionato;salto condicional
Komma;comma;virgule;virgola;coma
Punkt;point (s);point;punto;punto
verkürzen, abkürzen;shorten (v);abréger, raccourcir;abbreviare, raccorciare;abreviar, acortar
Klammern;brackets, parentheses;parenthèses;parentesi;paréntesis
Stern(zeichen);asterisk, star;astérisque;asterisco;asterisco
Leerzeichen;space, blank (s);espace;spazio;espacio vacío
Semikolon;semicolon;point virgule;punto e virgola;punto y coma
Länge;length;longueuer;lunghezza, longitudine;longitud
fest;fix (a);fixe;fisso;fijo
Prozentzeichen;percent sign;signe de pourcentage;sigla di percento;signo tanto por ciento
Sonderzeichen;special character / sign;caractère spécial;carattere speciale;carácter especial
feste Länge;fixed length;longueur fixe;lunghezza fissa;longitud fija
Pluszeichen;plus sign;signe plus;segno di più;signo más
Teilzeichenfolge;substring (s);sous-chaîne;sottostringa;subcadena
Nummer;number (s);nombre;numero;número
zählen;count (v);compter;contare;contar
Zähler;counter;compteur;contatore;contador
abgrenzen;delimit (v);délimiter;delimitare;delimitar
numerieren;number (v);numéroter;numerare;numerar
vorzeichenlos;unsigned (a);sans signe;senza segno;sin signo
ungerade;odd (a);impair;dispari;impar
numerisch;numerical (a);numérique;numerico;numérico
Vorzeichenregel;rule of signs;règle de caractères;regola dei segni;regla de signos
Ordnungszahl;ordinal number;nombre ordinal;numero ordinale;número ordinal
gerade Zahl;even number;nombre pair;numero pari;número par
Hexadezimalzahl;hexadecimal number;nombre hexadécimal;numero esadecimale;némero hexadecimal
führende Null;leading zero;zéro en tête;condurre zero;cero en cabeza
numerische Daten;numeric(al) data;données numériques;dati numerici ;datos numéricos
absoluter Wert;absolute value;valeur absolue;valore assoluto;valor absoluto
Ziffer;digit (s);chiffre;cifra;dígito
Ganzzahl;integer (s);nombre entier;numero intero;número entero
abschneiden (Zahl);truncate (v);tronquer;troncare;truncar
Schritt;step (s);pas;passo;paso
testen;test (v);tester;controllare;ensayar
FALSCH;wrong, false;faux, erroné;sbagliato, scorretto;falso, incorrecto
Hilfsprogramme;utilities;utilités;programmi d'aiuto;utilidades
Programmfehler;bug, program error;défaut;errore del programma;defecto, error, fallo
verfolgen;trace (v);tracer (le chemin de);inseguire;seguir
auffinden;detect (v);détecter;rilevare;detectar
austesten;debug (v);corriger les erreurs;mettono a punto;corregir los errores
auslisten;list (v);lister;fare una lista;listar
inkorrekt;incorrect (a);incorrect;scorretto;erróneo
unausgewogen;unbalanced (a);déséquilibré;poco equilibrato;desequilibrado
Fehler beim Teilen;division error;erreur de division;errore di divisione;sobrepasamiento división
Testlauf;test run;passage d'essai;serie di test;recorrido de prueba
fehlerhafte Verzweigung;wild branch;branchement incorrect;ramificazione difettosa;ramificación defectuosa
Syntaxanalyse;syntactic analysis;analyse de syntaxe;analisi sintattica ;análisis sintáctico
Fehlerrate;error rate;taux d'erreurs;tasso di errore;tasa de errores
fehlerfrei;bug free, error free;exempt d'erreur;senta errori, corretto;exento de error
Testtechnik;testing techniques;techniques d'essai;tecnica di test;técnicas de ensayo
Testzyklus;testing cycle;cycle d'essai;ciclo di test;ciclo d'ensayo
Testprogramm;test program;programme d'essai;programma di test;programa de ensayo
Testzeit;testing time;temps d'essai;tempo di test;tiempo de ensayo
verifizieren;verify (v);vérifier;verificare;verificar
syntaktisch;syntactical (a);syntaxique;sintattico;sintáxico
Bedeutungsfehler;semantic error;erreur sémantique;errore semantico;error semántico
Hilfe;aid, support, help (s);aide;aiuto, assistenza;ayuda
Änderung;change (s);changement;cambiamento;cambio
Verbesserung;improvement;amélioration;miglioramento;mejora
ändern, verändern;alter, modify (v);modifier;alterare, modificare;modificar, alterar
aktualisieren;update (v);mettre à jour;attualizzare;actualizar
freigeben;release (v);lancer;liberano;lanzar
verbessern, korrigieren;correct (v);corriger;correggere;corregir
aktuell;current (a);en cours d'exécution;attuale;actual
Programmunterstützung;program support;support de programme;sostegno di programma;soporte de programa
Benutzer;user;utilisateur;utente;usuario
Menü;menu;menu;menú;menú
Fenster;window (s);fenêtre;finestra;ventana
Beispiel;example;exemple;esempio;ejemplo
benutzen;use (v);utiliser;usare;usar, utilizar
eingeben;put in, enter (v);introduire;immettere, introdurre;introducir
benutzerfreundlich;user-friendly (a);ergonomique;ergonomico;amigo del usuario
Verwendung;usage;utilisation, usage;utilizzazione, uso;utilización, uso
Vorführung;demonstration;démonstration;dimostrazione;demostración
Eingabe;input, entry (s);entrée;entrata;entrada
Anwendung;application;application;applicazione;aplicación
Vereinfachung;simplification;simplification;semplificazione;simplificación
anwenden;apply (v);apposer;applicare;aplicar, utilizar
auswählen;select (v);sélectionner;scegliere;seleccionar
behandeln, verarbeiten;handle (v);manipuler;manipolare;manipular
lösen;solve (v);résoudre;risolvere;resolver
verarbeiten;process (v);traiter;trattare;procesar
wahlweise;optional, selective;facultatif;opzionale;opcional
integriertes Paket;integrated package;programme intégré;pacchetto integrato;paquete integrado
Anwendungsprogrammierer;application programmer;programmeur de logiciels;programmatore d'uso;programador de usos
Komplettlösung;complete solution;solution clé en main;soluzione completa;solución completa
Anwenderprogramm;application/user program;programme d'application;programma d'applicazione;programa de aplicación
Endbenutzer;end user;dernier utilisateur;utilizzatore finale;usario final
computergesteuert;computer-controlled;dirigé par ordinateur;computerizzato;dirigido por ordenador
Wurzel;root (s);racine;radice;raíz
Summe;sum (s);somme;somma;suma
zusammenzählen, addieren;add, total, sum up (v);totaliser;sommare, addizionare;acumular,sumar,adicionar
Berechnung;calculation, computation;calculation (f);calcolo;cálculo
Addition;summation, addition;totalisation;somma;totalización
Verminderung;reduction;réduction;riduzione;reducción
Ergebnis;result (s);résultat;risultato;resultado
Rechenfehler;miscalculation;erreur de calcul;errore di calcolo;error de cálculo
Wahrscheinlichkeit;probability;probabilité;probabilità;probabilidad
Rest;remainder;reste;resto;resto
runden;round (v);arrondir;arrotondare;redondear
berechnen;calculate (v);calculer;calcolare;calcular
teilen, dividieren;divide (v);diviser;dividere;dividir
malnehmen;multiply (v);multiplier;moltiplicare;multiplicar
abziehen, subtrahieren;subtract (v);soustraire;sottrarre;sustraer
zusätzlich;additional (a);supplémentaire;addizionale;adicional
durchschnittlich;average (a);moyen, moyenne;medio;medio
Rechnungsblatt;calculation sheet;feuille de calculation;carta da calcolo;hoja de cálculo
mathematische Anwendung;mathematical application;application mathématique;uso matematico;aplicación matemática
Zufallszahl;random number;nombre aléatoire;numero casuale ;número al azar
Stichprobe;random sample;échantillon, sondage;sondaggio;prueba al azar
Rechenoperation;calculating operation;opération de calcul;calcolatore funzionamento;operación de cálculo
genau;accurate (a);précis,e;esatto, preciso;preciso
berechenbar;computable (a);calculable;calcolabile;calculable
Titel;title (s);titre (m);titolo;título
Text;text (s);texte;testo;texto
tippen;type (v);taper à la machine;scrivere a macchina;escribir a máquina
Silbe;syllable;syllabe;sillaba;silaba
Rechtschreibhilfe;spell aid / checker;correction d'orthographe;;ayuda ortográfica
Textverarbeitung;word processing;traitement de textes;;proceso de textos
Tippfehler;typing error;erreur de frappe;errore di battuta;error de tecleo
wörtlich;literal (a);littéral;letterale;literal, textual
Feld;field (s);zona;campo;zona, campo
sortieren;sort (v);trier;classificare;clasificar
suchen;search, seek (v);chercher;cercare;buscar
Datenbank;data bank;base de données;banca dei dati;banco de datos
Umformung;transformation;transformation;trasformazione;transformación
Sortierung;sorting, sort (s);tri;classificazione;clasificación
erfassen;record, register (v);enregistrer;registrare, rilevare;registrar
abfragen;query (v);interroger;interrogare;interrogar, cuestionar
ungeordnet;unorganized (a);inorganisé;disordinato;desorganizado
sequentiell;sequential (a);séquentiel;sequenziale ;secuencial
Sortierprogramm;sort routine / program;programme de tri;programma di ordinamento;rutina de clasificación
Ursprungdaten;source data;données de source;dati di sorgente;datos de origen
Datenverarbeitung;data processing;traitement des données;elaborazione dei dati;proceso de datos
Sekundärdatei;secondary file;fichier secondaire;file secondario;fichero secundario
Karteikarte;file / record card;fiche, feuillet mobile;scheda, cartellino;tarjeta perforada
Dateneingabe;data entry / input;entrée de données;entrata di dati;entrada de datos
variable Länge;variable length;longueur variable;variabile lunghezza;longitud variable
Erfassung (von Daten);acquisition, capture;saisie;raccolta;adquisición, recogida
absteigend;descending (a);décroissant;descreciente;descendente
aufsteigend;ascending (a);croissant,e;creciente;ascendente
Datenumwandlung;data conversion;conversion de données;conversione di dati;conversión de datos
Datenerfassung;data capture;saisie des données;raccolta dei dati;adquisición de los datos
Winkel;angle;angle;angolo;ángulo, esquina
anordnen;arrange (v);disposer;disporre;disponer
dreidimensional;three-dimensional (a);trois dimensionnel;a tre dimensioni;tridimensional
regelmäßig;regular (a);régulier;regolare;regular
symmetrisch;symmetrical (a);symétrique;simmetrico;simétrico
Überschuss;surplus (s);excédent;eccedenza;excedente
auswerten;analyze (v);dépouiller, analyser;analizzare;analizar
unzureichend;insufficient (a);insuffisant;insufficiente;insuficiente
kommerzielle Anwendung;business application;utilisation commerciale;applicazione commerciale;utilización comercial
Sprache;language;langage;lingua, linguaggio;lenguaje
Verbrauch;wastage;consommation;consumo;uso
Wiedergabe;reproduction;reproduction;riproduzione;reproducción
simulieren;simulate (v);simuler;simulare;simular
entwerfen;design (v);dessiner;disegnare, progettare;diseñar, lanzar
rechnerunterstützt;computer aided;assisté par ordinateur;tecnica robot;robótica
Echtzeitverarbeitung;real time processing;traitement en temps réel;elaborazione in tempo reale;proceso en tiempo real
Spiel;game (s);jeu;gioco;juego
Ziel;target, aim (s);objectif;obiettivo;objetivo
künstlich;artificial (a);artificiel;artificiale;artificial
künstlich Stimme;artificial voice;voix artificielle;voce artificiale;voz artificial
Expertensystem;expert system;systeme expert (m);sistema d'esperti;sistema experto
künstliche Intelligenz;artificial intelligence;intellig. artificielle;intelligenza artificiale;inteligencia artificial
Kunstsprache;artificial language;langage artificiel;lingua artificiale;lenguaje artificial
Bewertung;valuation;evaluation;valutazione;valoración
Aktivität;activity;activité;attivare;actividad
angeben;specify (v);spécifier;indicare;especificar
Name;name (s);nom;nome;nombre
Kommunikation;communication;communication (f);comunicazione;comunicación
Frage;question (s);question;domanda;pregunta
senden, schicken;send (v);envoyer;mandare, trasmettere;enviar, transmitir
Übertragung;transmission, transfer;transmission;trasmissione;transmisión
übertragen;transmit, transfer (v);transmettre;trasmettere;transmitir
annehmen;accept (v);admettre;accettare;admitir
kommunizieren;communicate;communiquer;comunicare;comunicar
mündlich;verbal (a);oral;orale;oral
drahtlos;wireless (a);sans fil;senza fili;sin hilo
entfernt;remote (a);à distance;distante;remoto
Datenübertragung;data transmission;transmission de données;teleinformatica;transmisión de datos
Fernübertragung;telecommunication;télécommunication;telecomunicazione ;telecomunicación
Telekommunikation;remote communication;télécommunication;telecomunicazione ;telecomunicación
Kanal;channel (s);canal, voie;canale;canal, vía
empfangen;receive (v);recevoir;ricevere;recibir
belegt, besetzt;busy (a);occupé;occupato;ocupado
Verbindung;connection;connexion, lien;allacciamento;conexión
Empfang;reception;réception;ricezione;recepción
Signal;signal (s);signal;segnale;señal
Signalton;beep (s);signal sonore;segnale acustico;señal sonora
Bestätigung, Quittung;acknowledgment;accusé de réception;accusare (m) ricevuta;acuse de recibo
beenden;quit, terminate (v);terminer;terminare;terminar
erkennen;recognize (v);identifier;riconoscere;reconocer, identificar
anfordern;call for;demander, faire appel;richiedere, esigere;pedir, llamar
stören;disturb (v);déranger;disturbare;perturbar
analog;analogue (a);analogique;analogo;analógico
synchron;synchronous (a);synchrone;sincrono;síncrono
Prüfsumme;check sum;total de contrôle;somma di controllo;total de control
Paritätskontrolle;parity check;contrôle de parité;controllo di parità ;control de paridad
fehlerhafte Verbindung;faulty connection;connexion défectueuse;collegamento difettoso;connexión defectuosa
Ende der Meldung;end of message;fin de message;estremità del messaggio;fin de mensaje
quittierte Meldung;handshake message;message de dialogue;messaggio di dialogo;mensaje de diálogo
Paritätsfehler;parity error;erreur de parité;errore di parità ;error de paridad
Antwortzeit;response time;temps de réponse;tempo di reazione ;tiempo de respuesta
Ausgabekanal;output channel;canal de sortie;scanalatura dell' uscita;canal de salida
feste Verbindung;permanent connection;liaison permanente;collegamento fisso;enlace permanente
Übertragungskanal;transmission channel;canal de transmission;scanalatura di trasmissione;canal de transmisión
Synchronisierung;synchronization;synchronisation;sincronizzazione;sincronización
Parität, Ganzzahligkeit;parity (s);parité;parità;paridad, par
ungerade Parität;odd parity;imparité;disparità;imparidad
serielle Übertragung;serial transmission;transmission en série;trasmissione seriale;transmisión en serie
Station;station (s);station;stazione;estación
rufende Station;caller;station qui demande;stazione que chiamare;el que efectúa llamada
arbeitende Datenstation;active station;station active;stazione attiva;estación de datos activa
Sendestation;transmitting station;station de transmission;stazione trasmittente;estación de transmisión
Fernsteuerung;remote control;télécommande;telecomando;telecomando
Netzwerk;network;réseau;rete;red
Teilnehmer;participant (s);abonné, participant;partecipante;participante
vernetzt;networked (a);en forme de réseau;nella forma d'una rete;en forma de red
lokales Netzwerk;local network;réseau local;rete locale;red local
Übertragungsnetz;communication network;réseau de communications;rete di comunicazione;red de communicaciones
Netzwerkstation;network terminal;terminal de réseau;terminale della rete;terminal de red
reden;talk (v);parler;parlare;hablar
antworten;answer (v);répondre;rispondere;responder
Briefkasten;mailbox;boîte aux lettres;posta dei lettori;buzón electrónico
Adressat, Empfänger;addressee;destinataire;destinatario;destinatario
Teilnehmer;subscriber;abonné;abbonato;abonado
sich abmelden;log off;terminer la session;congedarsi;darse de baja
anzeigen;indicate, display (v);indiquer;indicare, informare;indicar
absenden;send off;expédier, envoyer;mandare, spedire;remitir
Akustikoppler;acoustic coupler;coupleur acoustique;accoppiamento acustico;acoplador acústico
betriebsintern;in-house;interne;all'interno dell'azienda;interno
Dialogbetrieb;interactive mode;mode interactif;modo interattivo;modo interactivo
Brief;letter;lettre;lettera;carta
Telefon;telephone (s);téléphone;telefono;teléfono
Post;post, mail (n);courrier;posta;correo
Postleitzahl;postcode, zip code;code postal;codice postale;código postal
Bestimmungsort;destination;destination;destinazione;destino
Porto;postage;affranchissement;tassa postale;franquicia
Zielsprache;target language;langage objet;lingua d'arrivo;lenguaje de meta
Autor;author;auteur (m);autore;autor
kurz;short (a);court;corto;corto
Anhang (Buch);appendix (s);appendice;appendice;apéndice
Handbuch;manual, handbook;manuel (m);manuale, guida;manual
Einführung;introduction;introduction (f);introduzione;introducción
Vorwort;preface (s);préface;prefazione;prefacio
Kommentar;comment (s);commentaire;commento;comentario
Anleitung, Einführung;guide (s);guide;istruzione, guida;guía
Kapitel;chapter;chapitre;capitolo;capítulo
Verweis;reference;référence;rimando;referencia
mehrsprachig;multi-lingual (a);multilingue;plurilingue;multilingue
schematisch;schematic (a);schématique;schematico;esquemático
Fachbuch;reference / special book;livre technique (m);trattato tecnico;libro específico
Programmiererhandbuch;programmer's guide;manuel de programmation;guida per programmatori;guía de programador
technisches Handbuch;technical manual;manuel technique (m);libro tecnico;manual técnico
Bedieneranleitung;operator's guide;mode d'emploi;manuale dell' operatore;guía del operador
Wartungshandbuch;service manual (s);mode d'entretien;manuale di istruzione;manual de mantenimiento
Schaubild;flip chart;diagramme;diagramma;gráfico, diagrama
Zusammenfassung;summary, resumé;résumé;riassunto;resumen
Fachausdruck;term (s);terme;termine tecnico;término técnico
Fachsprache;special language;langage technique;linguaggio tecnico;lenguaje especial
Kurs;course;cours;corso;curso
Schule;school (s);école;scuola;escuela
Ausbildung;education;formation, éducation (f);formazione, istruzione;educación
Ausbildungsprogramme;teachware;programmes de formation;programmas di formazione;métodos educativos
Seminar;workshop;cours pratique,séminaire;seminario;curso práctico
Schulung;training (s);instruction,entraînement;istruzione, formazione;formación
Anweisung;instruction;instruction;istruzione;instrucción
Fortbildungskurs;training course;cours (de formation);corso di perfezionamento;curso de reciclaje
Basic-Kurs;Basic course;cours de base (m);corso di Basic;curso de Basic
Ausbildungsplan;training schedule;plan de formation;orario di formazione;plan de formación
Ausbildungszentrum;training centre;centre d'éducation;centro di formazione;centro de formación
Computerkurs;computer course;cours d'informatique;corso di informatica;curso de informática
Schnellkurs;crash course;cours accéléré;;curso acelerado
Schulungszeit;training time;temps de formation;tempo di formazione;tiempo de formación
Informatik;informatics;informatique;informatica;informática
Theorie;theory;théorie;teoria;teoría
Wissenschaft;science;science;scienza;ciencia
wissenschaftlich;scientific (a);scoentifique;scientifico;cientifico
angewandte Informatik;applied computer science;informatique appliquée;informatica applicata;Informática aplicada
verstehen;understand (v);comprendre;comprendere, capire;comprender
fähig;able, capable, apt (a);capable;capace;capaz
Fachmann;expert, specialist (s);technicien, expert;esperto, specialista;experto
Forschung;research (s);recherche;indagine, ricerca;investigación
erfahren;expert, skilful (a);versé, expert;esperto, versato;hábil
Fachgebiet;special field;matière, spécialité;campo, ramo, materia;especialidad
Modell;model (s);modèle (m);modello;modelo
Firma;company, firm;société;compagnia, ditta;compañía, sociedad
Erzeugnis;product;produit;prodotto;producto
Typ;type (s);type, caractère;tipo;tipo, carácter
Qualität;quality;qualité;qualità;calidad
installieren;install (v);configurer, installer;installare;instalar
anfertigen;make (v);faire, réaliser;fabbricare;realizar
Bauweise;construction;construction (f);costruzione;construcción
Hersteller;manufacturer, producer;producteur, fabricant;fabbricante, produttore;fabricante
Fertigung;manufacturing,production;fabrication;produzione,fabbricazione;fabricación
Vollendung;completion;achèvement;compimento;terminación
Kontrolle;check (s);contrôle;controllo;control
anpassen;adapt (v);adapter;adattare;adaptar
Stand der Technik;state of the art;état de la technique;stato della tecnica;estado de la técnica
Serviceunternehmen;service bureau;bureau de service;agenzia di servizio;oficina de servicio
Serienproduktion;serial production;fabrication en série;produzione in serie;producción en serie
Steckkarte, Platine;card (s);carte, fiche;targhetta;tarjeta, ficha
Teil;part (s);partie;parte;porción
Draht;wire (s);fil;filo metallico;hilo
Steckplatz;slot (s);élément de trame;zoccolo;ranura, zócalo
Zusammenstellung;configuration;configuration;configurazione;configuración
Material;stuff, material (s);matériel;materiale;material
Stecker;jack, jumper, plug;fiche de connexion;spina;banana de conexión
Schalter;switch (s);interrupteur;interruttore,commutatore;interruptor
Abschirmung;shield (s);cache;schermatura;apantallamiento
Gestell;rack (s);bâti;scaffale, supporto;armazón, soporte
Stift, Kontaktanschluss;pin (s);broche;perno;patilla
Silizium;silicon;silicium;silicio;silicio
Anschluss;port, connection;connexion;collegamento;conexión
Grundplatine;motherboard;platine;cartolina base;platina principal
Einbaurahmen, Gestell;chassis (s);châssis;scaffale;armazón
Leiterkarte, Platine;board (s);tableau;cartolina;cuadro
Summer;buzzer;ronfleur;cicalino;vibrador, zumbador
Kontakt, Verbindung;contact (s);contact;contatto;contacto
Sicherung (elektrisch);fuse (s);fusible;fusiblie;fusible
Schicht;layer, coating (s);couche;strato;capa
technische Ausrüstung;technical equipment;équipement technique (m);equipaggio tecnico;equipamiento técnico
Transistorplättchen;transistor chip;transistor;circuito del transistore;minidisco de transistor
Schraubenzieher;screwdriver;tournevis;cacciavite;destornillador
Werkzeug;tool kit;outil;attrezzo;equipo instrumental
löten;solder (v);souder;saldare;soldar
Wartung;service, maintenance;service, entretien;servizio;servicio
Analyseprogramm;analyzer;analyseur;programma d'analizzatore;programa analizador
Überprüfung;review (s);révision;controllo, verifica;revisión
Beschädigung;damage (s);dommage, dégât, avarie;danno, avaria;daño
Diagnose;diagnosis;diagnose;diagnosi;diagnosis
Störung;fault, trouble (s);incidente, panne;perturbazione;perturbación
Reparatur;repair (s);réparation;riparazione;reparación
einstellen, justieren;adjust (v);ajuster;mettere a punto,regolare;ajustar
abnutzen;wear out;user;logorare;gastar
demontieren;strip, dismantle (v);démonter;smontare;desmontar
ausfallen, versagen;fail (v);tomber en panne;arrestarsi;fallar
ersetzen;replace (v);remplacer;sostituire, cambiare;reemplazar
warten, instandhalten;service (v);assurer le service;revisionare;asegurar el servicio
kaputt, defekt;defect (a);défectueux,-euse;rotto;defectuoso
allgemeiner Fehler;general error;erreur générale;errore generale;anomalía de tipo general
Wackelkontact;loose connection;faux contact;contatto allentato;contacto móvil
Probelauf;trial run;essai;prova di funzionamento;trayecto de prueba
Außendiensttechniker;field engineer;technicien;collaboratore esterno;técnico exterior
Ersatzteil;replacement part;pièce de rechange;parte di ricambio;pieza de repuesto
Kundendienst;service department;service après-vente;servizio di assistenza;asistencia técnica
Wartungszentrum;service center;centre de réparation;centro di servizio;centro de reparación
außer Betrieb setzen;disable (v);mettre hors service;sospendere l'attività;desactivar
Größe;size;format, volume;estensione, grandezza;formato, tamaño
Gewicht;weight (s);poids;peso;peso
nützlich;useful (a);utile (a);utile;útil
geräuscharm;quiet (a);insonorisé;tranquillo;silencioso
neu;new (a);nouveau, neuf;nuovo;nuevo
mit;with;avec;con;con
neues Produkt;new product;nouveau produit;prodotto nuovo;nuevo producto
Leistungsfähigkeit;performance;performance;capacità, produttiva;performance, actuación
Eigenschaft;characteristic (s);caractéristique;caratteristico;característico
unbeständig;unsteady (a);instable;instabile;inestable
vollkommen;perfect (a);parfait;perfetto;perfecto
fehlend;missing, absent (a);absent, qui manque;assente;ausente
Grundausstattung;basic hardware;équipement de base;attrezzatura elementare;herramienta básica
fabrikneu;virgin (a);vierge;nuovo di fabbrica;virgen
Erde, Masse;ground (s);terre, masse;presa di terra;tierra, masa
Strom;power (s);puissance;corrente;corriente
elektrisch;electric(al);électrique;elettrico;eléctrico
Spannung;voltage, tension;tension;tensione;tensión, voltaje
Stromverbrauch;wattage;consommation de copurant;consumo di corrente;gasto de corriente
Spitze;peak;crête, maximum;punta;punta, máximo
Frequenz;frequency;fréquence;frequenza;frecuencia
leiten (Strom);conduct (v);conduire;condurre;conducir
aktive Leitung;active line;ligne active;linea attiva;línea activa
Wechselstrom;alternating current, AC;courant alternatif;corrente alternata;corriente alterna
Stromversorgung;power supply;source d'énergie;alimentazione elettrica;fuente de alimentación
Kurzschluss;short circuit;court-circuit;corto circuito;cortocircuito
Gleichstrom;direct current, D.C.;courant continu;corrente continua;corriente continua
Stromausfall;power failure;panne de courant;mancanza di corrente;interrupción d.corriente
Kabel;cable (s);cable (m);cavo;cable
elektronisch;electronic  (a);électronique;elettronico;electrónico
Elektronik;electronics;électronique (f);elettronica;electrónica
Trennung;segregation, separartion;séparation;separazione;segregación
Strahl;beam, ray (s);rayon;raggio;rayo
integrierte Schaltung;integrated circuit, IC;circuit intégré;circuito integrato;circuito integrado
Halbleiter;semi-conductor;semi-conducteur;semiconduttore;semiconductor
Schwelle;threshold (s);seuil;soglia;umbral
Schwellenwert;threshold value;valeur-seuil;valore di soglia;valor-umbral
Verstärker;amplifier;amplificateur;amplificatore;amplificador
Schaltung;wiring (s);câblage;inserimento;cableado
Leiter (phys.);conductor;conducteur;conduttore;conductor
Schaltkreis, Schaltung;circuit (s);circuit;circuito;
Widerstand;resistor;résistance;resistenza;resistencia
Röhre;tube (s);tube;tubo (elettronico);válvula electrónica
Kondensator;capacitor;condensateur;condensatore;condensador
Gatter;gate (s);porte;;puerta
Ton;tone (s);tonalité;suono;tonalidad
verbinden;connect, strap, attach;connecter;collegare;conectar
akustisch;acoustic (a);acoustique;acustico;acústico
Welle;wave (s);onde;onda;onda
Hitze, Wärme;heat (s);chaleur;caldo, calura;calor
mechanisch;mechanical (a);mécanique;meccanico;mecánico
technisch;technical (a);technique;tecnico;técnico
filtern;filter (v);filtrer;filtrare;filtrar
periodisch;periodical (a);périodique;periodico;periódico
physisch;physical (a);physique;fisico;físico
Angebot;offer (s);offre (f);offerta;oferta
Handel;trade, commerce (s);commerce;commercio;comercio
Zahlung;payment;paiement, versement;pagamento;pago
Kunde;client, customer, buyer;client, acheteur;cliente;cliente
Auftrag;order (s);ordre;ordine;orden
verkaufen;sell (v);vendre;vendere;vender
bestellen;order (v);ordonner;ordinare;ordenar
Betrag;amount (s);montant;importo;importe
Lieferant;supplier;fournisseur;fornitore;distribuidor
Versand;shipment;expédition;spedizione, invio;expedición, envío
Nachfrage;demand (s);demande;domanda;demanda
Auslieferung;delivery;livraison;consegna, distribuzione;entrega
Rechnung, Faktura;invoice, bill (s);facture;fattura;factura
brauchen;require, need (v);utiliser;impiegare, usare;requerir
versenden;ship, forward (v);expédier;spedire;expedir
Händlerrabatt;trade discount;rabais de gros;sconto commerciale;descuento comercial
Verkäufer;sales assistant/clerk;vendeur;venditore;vendedor
Bruttopreis;gross price;prix brut;prezzo lordo;precio bruto
Lieferdatum;delivery date;date de livraison;data di consegna;feacha de entrega
neuer Kunde;new customer;nouveau client;cliente nuovo;nuevo cliente
auf Probe;on trial;à l'essai;in prova;en prueba
Geschäft, Laden;shop (s);magasin;negozio;almacén, negocio
gebraucht;second-hand, used (a);d'occasion;usato, di seconda mano;de segunda mano
Mitarbeiter;employee, associate;collaborateur;collaboratore;colega
Abnehmer;taker;prener, partie;compratore, acquirente;consumidor
Personal;staff, personnel;équipe;personale;equipo
Abteilung;department, division;section, division;reparto, dipartimento;departamento
Händler;dealer;marchant;commerciante;comerciante
Geschäftsstelle;agency;bureau, agence;ufficio;agencia, oficina
